name, success_rate, success_count, totol_problem_count, problems_solved, compilation_error_rate, compilation_error_count, total_answer_count, problems_w_ce, ce_rate_list, first_success_pos, avg_first_success_pos, avg_success_rate, first_success_count, first_success_rate
sufucoqview__test(2025-06-19_20-01-51/100),53.45%,31.0,58.0,"[0, 4, 5, 6, 7, 9, 13, 15, 16, 18, 19, 20, 22, 26, 27, 29, 30, 31, 32, 35, 36, 40, 41, 43, 44, 47, 49, 50, 51, 55, 56]",0.00%,0.0,361.0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 10, 10, 10, 0, 0, 0, 0, 10, 1, 10, 10, 10, 2, 10, 0, 1, 10, 0, 1, 0, 10, 0, 10, 10, 10, 0, 7, 10, 0, 4, 0, 0, 10, 10, 0, 0, 10, 10, 10, 1, 0, 10, 0, 0, 10, 10, 0, 10, 0, 0, 2, 10, 10, 10, 0, 3, 10]",5.03,24.65%,22.0,37.93%
sufucoqview__test(2025-06-19_20-01-51/110),51.72%,30.0,58.0,"[0, 4, 5, 6, 7, 9, 13, 15, 18, 19, 20, 22, 26, 29, 30, 31, 32, 35, 36, 38, 40, 41, 43, 44, 47, 49, 50, 51, 55, 56]",0.28%,1.0,351.0,[55],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0]","[0, 10, 10, 10, 0, 0, 0, 0, 10, 1, 10, 10, 10, 2, 10, 0, 10, 10, 0, 1, 0, 10, 0, 10, 10, 10, 0, 10, 10, 0, 3, 0, 0, 10, 10, 0, 0, 10, 5, 10, 1, 0, 10, 0, 0, 10, 10, 0, 10, 0, 0, 2, 10, 10, 10, 0, 4, 10]",5.16,21.08%,22.0,37.93%
sufucoqview__test(2025-06-19_20-01-51/120),51.72%,30.0,58.0,"[0, 4, 5, 6, 7, 9, 13, 15, 16, 18, 19, 20, 22, 26, 29, 30, 31, 32, 35, 36, 40, 41, 43, 44, 47, 49, 50, 51, 55, 56]",0.28%,1.0,359.0,[55],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0]","[0, 10, 10, 10, 0, 0, 0, 0, 10, 1, 10, 10, 10, 1, 10, 0, 1, 10, 0, 1, 1, 10, 0, 10, 10, 10, 0, 10, 10, 0, 3, 0, 0, 10, 10, 0, 0, 10, 10, 10, 1, 0, 10, 0, 0, 10, 10, 0, 10, 0, 0, 2, 10, 10, 10, 0, 4, 10]",5.09,22.84%,21.0,36.21%
sufucoqview__test(2025-06-19_20-01-51/130),51.72%,30.0,58.0,"[0, 4, 5, 6, 7, 9, 13, 15, 16, 18, 19, 20, 22, 26, 29, 30, 31, 32, 35, 36, 40, 41, 43, 44, 47, 49, 50, 51, 55, 56]",0.00%,0.0,363.0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 10, 10, 10, 0, 0, 0, 0, 10, 1, 10, 10, 10, 2, 10, 0, 1, 10, 0, 2, 1, 10, 0, 10, 10, 10, 0, 10, 10, 0, 3, 0, 0, 10, 10, 0, 0, 10, 10, 10, 1, 0, 10, 0, 0, 10, 10, 0, 10, 0, 0, 2, 10, 10, 10, 0, 3, 10]",5.1,20.39%,21.0,36.21%
sufucoqview__test(2025-06-19_20-01-51/140),50.00%,29.0,58.0,"[0, 4, 5, 6, 7, 9, 13, 15, 18, 19, 20, 22, 26, 29, 30, 31, 32, 35, 36, 40, 41, 43, 44, 47, 49, 50, 51, 55, 56]",0.29%,1.0,347.0,[18],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 10, 10, 10, 0, 0, 0, 0, 10, 1, 10, 10, 10, 2, 10, 0, 10, 10, 0, 2, 3, 10, 0, 10, 10, 10, 0, 10, 10, 0, 2, 0, 0, 10, 10, 0, 0, 10, 10, 10, 1, 0, 10, 0, 0, 10, 10, 0, 10, 0, 0, 2, 10, 10, 10, 0, 3, 10]",5.28,21.33%,21.0,36.21%
sufucoqview__test(2025-06-19_20-01-51/150),50.00%,29.0,58.0,"[0, 4, 5, 6, 7, 9, 13, 15, 18, 20, 22, 26, 29, 30, 31, 32, 35, 36, 38, 40, 41, 43, 44, 47, 49, 50, 51, 55, 56]",0.00%,0.0,340.0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 10, 10, 10, 0, 0, 0, 0, 10, 0, 10, 10, 10, 2, 10, 0, 10, 10, 0, 10, 1, 10, 0, 10, 10, 10, 0, 10, 10, 0, 3, 0, 0, 10, 10, 0, 0, 10, 4, 10, 1, 0, 10, 0, 0, 10, 10, 0, 10, 0, 0, 3, 10, 10, 10, 0, 3, 10]",5.29,22.35%,22.0,37.93%
sufucoqview__test(2025-06-19_20-01-51/160),44.83%,26.0,58.0,"[0, 4, 5, 6, 7, 9, 13, 15, 18, 20, 22, 26, 29, 30, 31, 32, 36, 40, 41, 43, 44, 47, 49, 50, 51, 55]",0.00%,0.0,343.0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 10, 10, 10, 0, 0, 0, 0, 10, 0, 10, 10, 10, 1, 10, 0, 10, 10, 0, 10, 2, 10, 0, 10, 10, 10, 0, 10, 10, 0, 3, 0, 0, 10, 10, 10, 0, 10, 10, 10, 1, 0, 10, 0, 0, 10, 10, 0, 10, 0, 0, 2, 10, 10, 10, 0, 10, 10]",5.67,21.28%,21.0,36.21%
sufucoqview__test(2025-06-19_20-01-51/170),50.00%,29.0,58.0,"[0, 4, 5, 6, 7, 9, 12, 13, 15, 18, 19, 20, 22, 26, 29, 30, 31, 32, 36, 38, 40, 41, 43, 44, 47, 49, 50, 51, 55]",0.00%,0.0,345.0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 10, 10, 10, 0, 0, 0, 0, 10, 0, 10, 10, 5, 1, 10, 0, 10, 10, 0, 1, 0, 10, 0, 10, 10, 10, 0, 10, 10, 0, 3, 0, 0, 10, 10, 10, 0, 10, 4, 10, 1, 0, 10, 0, 0, 10, 10, 0, 10, 0, 0, 2, 10, 10, 10, 0, 10, 10]",5.29,21.74%,22.0,37.93%
sufucoqview__test(2025-06-19_20-01-51/180),46.55%,27.0,58.0,"[0, 4, 5, 6, 7, 9, 13, 15, 18, 20, 22, 26, 29, 30, 31, 32, 35, 36, 40, 41, 43, 44, 47, 49, 50, 51, 55]",0.00%,0.0,356.0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 10, 10, 10, 0, 0, 0, 0, 10, 0, 10, 10, 10, 1, 10, 0, 10, 10, 0, 10, 0, 10, 0, 10, 10, 10, 0, 10, 10, 0, 3, 0, 0, 10, 10, 0, 0, 10, 10, 10, 1, 0, 10, 0, 0, 10, 10, 0, 10, 0, 0, 3, 10, 10, 10, 0, 10, 10]",5.48,21.35%,23.0,39.66%
sufucoqview__test(2025-06-19_20-01-51/190),48.28%,28.0,58.0,"[0, 4, 5, 6, 7, 9, 13, 15, 18, 20, 22, 26, 29, 30, 31, 32, 35, 36, 40, 41, 43, 44, 47, 49, 50, 51, 55, 56]",0.00%,0.0,354.0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 10, 10, 10, 0, 0, 0, 0, 10, 0, 10, 10, 10, 1, 10, 0, 10, 10, 0, 10, 0, 10, 0, 10, 10, 10, 0, 10, 10, 0, 4, 0, 0, 10, 10, 0, 0, 10, 10, 10, 1, 0, 10, 0, 0, 10, 10, 0, 10, 0, 0, 3, 10, 10, 10, 0, 3, 10]",5.38,19.77%,23.0,39.66%
sufucoqview__test(2025-06-19_20-01-51/200),46.55%,27.0,58.0,"[0, 4, 5, 6, 7, 9, 12, 13, 15, 18, 20, 22, 26, 29, 30, 31, 32, 36, 40, 41, 43, 44, 47, 49, 50, 51, 55]",0.29%,1.0,348.0,[38],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 10, 10, 10, 0, 0, 0, 0, 10, 0, 10, 10, 3, 1, 10, 0, 10, 10, 0, 10, 0, 10, 0, 10, 10, 10, 0, 10, 10, 0, 5, 0, 0, 10, 10, 10, 0, 10, 10, 10, 0, 0, 10, 0, 0, 10, 10, 0, 10, 0, 0, 2, 10, 10, 10, 0, 10, 10]",5.53,19.83%,23.0,39.66%
mbjpcoqview__test(2025-06-20_16-57-57/20),23.88%,16.0,67.0,"[0, 6, 7, 10, 11, 14, 19, 22, 26, 35, 43, 44, 53, 60, 63, 65]",4.56%,30.0,658.0,"[2, 5, 9, 11, 24, 30, 31, 42]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.3, 0.0, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[5, 10, 10, 10, 10, 10, 0, 0, 10, 10, 2, 6, 10, 10, 2, 10, 10, 10, 10, 0, 10, 10, 1, 10, 10, 10, 2, 10, 10, 10, 10, 10, 10, 10, 10, 5, 10, 10, 10, 10, 10, 10, 10, 0, 0, 10, 10, 10, 10, 10, 10, 10, 10, 1, 10, 10, 10, 10, 10, 10, 3, 10, 10, 0, 10, 7, 10]",8.12,6.53%,6.0,8.96%
mbjpcoqview__test(2025-06-20_16-57-57/40),22.39%,15.0,67.0,"[3, 6, 7, 10, 14, 19, 22, 26, 35, 43, 44, 53, 60, 63, 65]",6.75%,44.0,652.0,"[2, 5, 8, 9, 11, 21, 31, 40, 41, 42, 57]","[0.0, 0.0, 0.6666666666666666, 0.0, 0.0, 0.5, 0.0, 0.0, 0.3, 0.3, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.3, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[10, 10, 10, 2, 10, 10, 0, 0, 10, 10, 3, 10, 10, 10, 4, 10, 10, 10, 10, 0, 10, 10, 2, 10, 10, 10, 1, 10, 10, 10, 10, 10, 10, 10, 10, 9, 10, 10, 10, 10, 10, 10, 10, 0, 0, 10, 10, 10, 10, 10, 10, 10, 10, 1, 10, 10, 10, 10, 10, 10, 0, 10, 10, 0, 10, 5, 10]",8.16,5.98%,7.0,10.45%
mbjpcoqview__test(2025-06-20_16-57-57/60),20.90%,14.0,67.0,"[6, 7, 10, 14, 19, 20, 22, 26, 43, 44, 53, 60, 63, 65]",5.56%,36.0,647.0,"[5, 8, 9, 11, 17, 21, 24, 31, 36, 41, 42]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.2, 0.4, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.3, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.3, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[10, 10, 10, 10, 10, 10, 0, 0, 10, 10, 4, 10, 10, 10, 4, 10, 10, 10, 10, 0, 8, 10, 2, 10, 10, 10, 5, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 0, 0, 10, 10, 10, 10, 10, 10, 10, 10, 1, 10, 10, 10, 10, 10, 10, 0, 10, 10, 0, 10, 3, 10]",8.31,5.72%,7.0,10.45%
mbjpcoqview__test(2025-06-20_16-57-57/80),28.36%,19.0,67.0,"[0, 6, 7, 9, 10, 14, 19, 20, 22, 23, 25, 26, 43, 44, 53, 54, 60, 63, 65]",1.53%,10.0,654.0,"[5, 9, 11, 42, 45, 58]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.1, 0.0, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 10, 10, 10, 10, 10, 0, 0, 10, 2, 4, 10, 10, 10, 2, 10, 10, 10, 10, 0, 4, 10, 4, 9, 10, 9, 3, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 0, 0, 10, 10, 10, 10, 10, 10, 10, 10, 0, 8, 10, 10, 10, 10, 10, 0, 10, 10, 0, 10, 5, 10]",7.94,5.96%,8.0,11.94%
mbjpcoqview__test(2025-06-20_16-57-57/100),23.88%,16.0,67.0,"[3, 6, 7, 9, 10, 14, 19, 22, 26, 28, 43, 44, 53, 60, 63, 65]",5.15%,34.0,660.0,"[2, 5, 8, 9, 11, 17, 20, 21, 24, 31, 40, 42]","[0.0, 0.0, 0.2, 0.0, 0.0, 0.4, 0.0, 0.0, 0.2, 0.1, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.1, 0.4, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[10, 10, 10, 4, 10, 10, 0, 0, 10, 4, 3, 10, 10, 10, 7, 10, 10, 10, 10, 0, 10, 10, 6, 10, 10, 10, 3, 10, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 0, 0, 10, 10, 10, 10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 10, 10, 0, 10, 10, 0, 10, 5, 10]",8.22,5.91%,8.0,11.94%
mbjpnocheck__test,19.40%,13.0,67.0,"[0, 3, 6, 7, 19, 22, 25, 26, 43, 44, 53, 60, 63]",27.31%,183.0,670.0,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 13, 15, 18, 19, 20, 21, 24, 25, 27, 30, 31, 32, 35, 36, 37, 38, 39, 41, 42, 43, 45, 47, 48, 50, 55, 56, 57, 58, 60, 61, 64, 66]","[0.0, 0.6, 0.5, 0.7, 0.3, 0.9, 0.3, 0.0, 0.2, 0.6, 0.2, 0.7, 0.0, 0.1, 0.0, 0.1, 0.0, 0.0, 0.1, 0.1, 0.4, 0.7, 0.0, 0.0, 1.0, 0.1, 0.0, 0.1, 0.0, 0.0, 0.8, 0.8, 0.3, 0.0, 0.0, 0.4, 0.8, 0.3, 0.1, 0.1, 0.0, 0.9, 0.3, 0.7, 0.0, 0.1, 0.0, 1.0, 0.1, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.4, 0.4, 1.0, 0.1, 0.0, 0.2, 0.9, 0.0, 0.0, 0.5, 0.0, 0.3]","[0, 10, 10, 8, 10, 10, 1, 0, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 0, 10, 10, 1, 10, 10, 3, 5, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 0, 0, 10, 10, 10, 10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 10, 10, 1, 10, 10, 0, 10, 10, 10]",8.34,5.67%,7.0,10.45%
codet5-base_sufu__test(2025-06-29_23-21-14/20),27.59%,16.0,58.0,"[0, 4, 5, 7, 9, 12, 16, 22, 29, 31, 36, 41, 47, 49, 50, 55]",84.14%,488.0,580.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57]","[0.8, 0.9, 0.7, 1.0, 0.7, 0.7, 1.0, 0.7, 1.0, 0.8, 1.0, 1.0, 0.7, 1.0, 1.0, 1.0, 0.2, 1.0, 1.0, 0.9, 1.0, 1.0, 0.9, 0.6, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7, 1.0, 0.8, 0.9, 1.0, 1.0, 0.6, 0.7, 0.7, 0.7, 1.0, 0.7, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6, 0.8, 0.5, 0.5, 1.0, 0.8, 0.6, 1.0, 0.7, 1.0, 0.4]","[0, 10, 10, 10, 0, 0, 10, 0, 10, 1, 10, 10, 0, 10, 10, 10, 0, 10, 10, 10, 10, 10, 1, 10, 10, 10, 10, 10, 10, 0, 10, 0, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 10, 10, 10, 0, 10, 0, 0, 10, 10, 10, 10, 0, 10, 10]",7.28,8.79%,14.0,24.14%
codet5-base_sufu__test(2025-06-29_23-21-14/40),27.59%,16.0,58.0,"[0, 4, 5, 7, 9, 16, 22, 23, 29, 31, 36, 41, 47, 49, 50, 55]",81.38%,472.0,580.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57]","[0.6, 0.7, 0.9, 1.0, 0.4, 0.5, 1.0, 0.5, 1.0, 0.8, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6, 1.0, 1.0, 0.6, 1.0, 1.0, 0.6, 0.7, 1.0, 1.0, 1.0, 1.0, 1.0, 0.4, 1.0, 0.9, 0.8, 1.0, 1.0, 0.7, 0.4, 0.7, 0.4, 1.0, 0.5, 0.6, 1.0, 1.0, 1.0, 0.9, 1.0, 0.7, 0.9, 0.3, 0.5, 1.0, 1.0, 0.6, 1.0, 0.3, 1.0, 0.7]","[0, 10, 10, 10, 0, 0, 10, 0, 10, 0, 10, 10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 10, 0, 2, 10, 10, 10, 10, 10, 0, 10, 1, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 10, 10, 10, 0, 10, 0, 0, 10, 10, 10, 10, 0, 10, 10]",7.29,11.72%,14.0,24.14%
codet5-base_sufu__test(2025-06-29_23-21-14/60),29.31%,17.0,58.0,"[0, 4, 5, 7, 9, 12, 16, 22, 23, 29, 31, 36, 41, 47, 49, 50, 55]",82.76%,480.0,580.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57]","[0.4, 0.8, 1.0, 1.0, 0.7, 0.8, 1.0, 0.1, 1.0, 0.6, 1.0, 1.0, 0.6, 1.0, 1.0, 1.0, 0.2, 1.0, 1.0, 0.8, 1.0, 1.0, 0.8, 0.7, 1.0, 1.0, 1.0, 0.9, 1.0, 0.7, 1.0, 0.8, 0.9, 1.0, 1.0, 0.6, 0.7, 0.7, 0.5, 1.0, 1.0, 0.6, 1.0, 1.0, 1.0, 1.0, 1.0, 0.2, 1.0, 0.4, 0.6, 1.0, 1.0, 0.6, 1.0, 0.7, 0.9, 0.7]","[0, 10, 10, 10, 0, 0, 10, 0, 10, 0, 10, 10, 0, 10, 10, 10, 0, 10, 10, 10, 10, 10, 0, 0, 10, 10, 10, 10, 10, 0, 10, 0, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 10, 10, 10, 0, 10, 0, 0, 10, 10, 10, 10, 0, 10, 10]",7.07,11.38%,17.0,29.31%
